config,seed,horizon_day,utility,gini,variance,std,completed
no_forecast,20260723,3,157397.09147706284,0.07321161321809733,14626.214436285172,120.93888719632396,16645
no_forecast,20260723,4,196822.06346467344,0.06081702189956206,21156.515502729406,145.45279475736933,20959
no_forecast,20260723,5,246521.16160821283,0.08660984404635363,52199.309839868656,228.47168279650907,26214
no_forecast,20260723,6,299267.34057783266,0.09724387260226441,90195.96326063026,300.32642784248986,31703
no_forecast,20260723,7,352506.75247636595,0.10738945010102863,139457.30622942236,373.43982946309086,37192
no_forecast,20260723,14,685067.362233983,0.17821598536224337,1141364.651714634,1068.3466907865788,72596
no_forecast,20260723,21,880172.0973821016,0.20996102605722644,2855258.218027804,1689.7509337259748,91875
no_forecast,20260723,28,981668.7503789298,0.19490878156087477,3032529.6347509595,1741.4159855562827,101735
no_forecast,20260723,37,1152713.3445786305,0.15806740807526243,2855859.6954479883,1689.928902483175,117747
no_fairness,20260723,1,55438.83840124916,0.24286799617595012,13981.546356040544,118.24358906951592,5817
no_fairness,20260723,2,106806.90725534126,0.27882852134517155,67128.9733427222,259.0925960785491,11227
no_fairness,20260723,3,152003.6404539438,0.31858897208519776,177229.61907663863,420.9864832469549,16057
no_fairness,20260723,4,188684.2960069433,0.3517644641833815,338422.20784497855,581.7406706127556,20065
no_fairness,20260723,5,226178.30746186478,0.37537510762090265,559868.2999984336,748.2434764155539,23941
no_fairness,20260723,6,264890.94703762024,0.37853599076931044,792060.0829445506,889.9775744054176,27821
no_fairness,20260723,7,304442.9038574915,0.3835592760930526,1064036.9857906217,1031.5216845954435,31738
no_fairness,20260723,14,502534.21318993875,0.43719703383934316,3990858.3851732356,1997.7132890315456,51583
no_fairness,20260723,21,627942.3949157856,0.456619130089033,7036006.461799319,2652.5471648585853,63757
no_fairness,20260723,28,725642.7529237625,0.4632920454314262,9977023.342492262,3158.642642416559,73689
no_fairness,20260723,37,893039.2087175163,0.4693094781916338,15477719.421400711,3934.1732830927403,89733
full,20260724,1,55476.013604731765,0.04356451841276776,1131.3540284754663,33.63560655727002,5872
full,20260724,2,108626.33161037188,0.05566984942827102,4447.096073670491,66.68655092048539,11452
full,20260724,3,157393.57027975627,0.07407686485208931,15140.384462006454,123.04626959809247,16639
full,20260724,4,196747.347237936,0.06225919364103305,22040.118883906012,148.45914887236157,20952
full,20260724,5,246414.38339550595,0.08736158661919857,53334.22698788819,230.9420424866122,26202
full,20260724,6,299114.66753368336,0.09800225412714281,91290.38941987125,302.1429949872597,31694
full,20260724,7,352432.83757251606,0.10621483878680471,138941.0728450125,372.7480017988192,37186
full,20260724,14,687066.3999621646,0.17231693677721838,1086614.0960128107,1042.4078357403166,72882
full,20260724,21,936656.775656714,0.22301535711252618,3603691.6608902467,1898.3391848903732,99432
full,20260724,28,1116866.0093687023,0.23706719411978794,6279272.5222539315,2505.8476654126307,119756
full,20260724,37,1404327.5840214952,0.22316583244694344,9674850.522023616,3110.4421746792877,150796
no_forecast,20260724,1,55476.013604731765,0.04356451841276776,1131.3540284754663,33.63560655727002,5872
no_forecast,20260724,2,108626.33161037188,0.05566984942827102,4447.096073670491,66.68655092048539,11452
no_forecast,20260724,3,157365.41597024555,0.07564049890937086,15696.414724214566,125.28533323663456,16628
no_forecast,20260724,4,196758.9084081636,0.06619925774646274,24213.41101479916,155.60659052494904,20942
no_forecast,20260724,5,246414.81045219724,0.09331875186453664,59185.260185610015,243.28020919427462,26195
no_forecast,20260724,6,299152.59342631453,0.10685075477254102,105983.65840216895,325.551314545294,31684
no_forecast,20260724,7,352414.14277296053,0.11494464296214257,160753.5045578812,400.9407743768164,37169
no_forecast,20260724,14,682412.2972432951,0.18415442372483337,1219824.5137318955,1104.4566599608586,72308
no_forecast,20260724,21,883718.2969178519,0.20544542786488806,2774932.4585573007,1665.812852200781,92217
no_forecast,20260724,28,984380.5462373289,0.1846273786856567,2823746.8849197547,1680.4008107947802,101991
no_forecast,20260724,37,1143644.9948905595,0.1444879331424056,2441978.52787393,1562.6831181893308,116828
no_fairness,20260724,1,55416.379338941326,0.23641456236909475,13353.273646404174,115.55636566803308,5814
no_fairness,20260724,2,106783.66443992144,0.2840100023782137,69566.94981228895,263.7554735210038,11224
no_fairness,20260724,3,151995.25221824172,0.3181376807316403,176919.62177713818,420.6181424726449,16037
no_fairness,20260724,4,188441.25938428205,0.34817113631511565,330385.1515158265,574.791398261862,20039
